customAuthorName,title_s,publicationDate_s,instStructName_s
Ilham Alloui,"E-alliance, rapport de 1ère année programme thématique région rhône alpes",2001-04,"UR LSTI, Centre G2I, Université Savoie Mont Blanc"
Ilham Alloui,WIoT: Interconnection between Wise Objects and IoT,2018-07-26,"Université Savoie Mont Blanc, Université Savoie Mont Blanc"
Ilham Alloui,Automatic Package Coupling and Cycle Minimization,2009-10,"Université de Lille, Sciences et Technologies, Institut National de Recherche en Informatique et en Automatique, Université de Lille, Sciences Humaines et Sociales, Institut National de Recherche en Informatique et en Automatique, Département d'informatique et de recherche opérationnelle, Université Savoie Mont Blanc"
Ilham Alloui,Tuning a Fuzzy Control System for Software Intensive Processes via Simulation,1999-05,"Université Savoie Mont Blanc, Université de Rennes, Institut National des Sciences Appliquées - Rennes, Université de Bretagne Sud, École normale supérieure - Rennes, Institut National de Recherche en Informatique et en Automatique, Télécom Bretagne, CentraleSupélec"
Ilham Alloui,Supporting Decentralised Software-intensive Processes using Zeta Component-based Architecture Description Language,2002-03,Université Savoie Mont Blanc
Ilham Alloui,e-Alliance: a software infrastructure for concurrent inter-organisational alliances,2002,"Université Savoie Mont Blanc, UR LSTI, Centre G2I"
Ilham Alloui,The Package Blueprint: visually analyzing and quantifying package dependencies,2014-03-10,"Université de Lille, Sciences et Technologies, Institut National de Recherche en Informatique et en Automatique, Université de Lille, Sciences Humaines et Sociales, Institut National de Recherche en Informatique et en Automatique, Université Savoie Mont Blanc, Université de Bordeaux, École Nationale Supérieure d'Électronique, Informatique et Radiocommunications de Bordeaux (ENSEIRB)"
Ilham Alloui,Wise Objects for IoT (WIoT): Software Framework and Experimentation,2019-08-13,Université Savoie Mont Blanc
Ilham Alloui,Software Agents for bringing cooperating software-intensive processes under quantitative control using fuzzy sets,1999-05-12,"Université Savoie Mont Blanc, Université de Rennes, Institut National des Sciences Appliquées - Rennes, Université de Bretagne Sud, École normale supérieure - Rennes, Institut National de Recherche en Informatique et en Automatique, CentraleSupélec, IMT Atlantique, Université de Bretagne Sud, Université de Rennes, Institut National des Sciences Appliquées - Rennes, Université de Bretagne Sud, École normale supérieure - Rennes, Institut National de Recherche en Informatique et en Automatique, CentraleSupélec, IMT Atlantique"
Ilham Alloui,A Graph Matching Algorithm to Extend Software Wise Systems with Human Semantic,2023,"Université Savoie Mont Blanc, Université Savoie Mont Blanc"
Khadija Bousselmi,Predictive Systems for Snow Avalanche Forecasting,2022-05-17,Université Savoie Mont Blanc
Khadija Bousselmi,Deep Reinforcement Learning-based Load Balancer using Kubernetes,2023-09-20,Université Savoie Mont Blanc
Khadija Bousselmi,A Machine Learning Based Decision Support Framework For Big Data Pipeline Modeling And Design,2024,Université Savoie Mont Blanc
